Date,CustomerID,Invoice,ProductName,Category,Sales,CurrentPrice,CompetitorPrice,Rating,RecencyDays,FrequencyMonths,MonetaryValue
2024-01-15,CUST-001,INV-001,Sofa,Furniture,1,4912,4632,4.5,5,12,45000
2024-01-15,CUST-001,INV-001,Area Rug,Decor,1,1723,1907,4.0,5,12,45000
2024-01-15,CUST-001,INV-001,Throw Pillow,Decor,1,573,701,3.6,5,12,45000
2024-01-21,CUST-002,INV-002,Office Desk,Office,1,4470,4019,3.6,12,8,28000
2024-01-21,CUST-002,INV-002,Office Chair,Office,1,3474,3821,3.7,12,8,28000
2024-01-21,CUST-002,INV-002,Desk Lamp,Decor,1,875,861,4.9,12,8,28000
2024-01-26,CUST-003,INV-003,Dining Table,Furniture,1,8062,7423,5.0,3,15,62000
2024-01-26,CUST-003,INV-003,Dining Chair,Furniture,1,2387,2382,3.9,3,15,62000
2024-01-26,CUST-003,INV-003,Dishware Set,Kitchen,3,1157,1058,4.0,3,15,62000
2024-01-31,CUST-004,INV-004,Cookware Set,Kitchen,2,3388,3226,4.5,45,5,18000
2024-01-31,CUST-004,INV-004,Utensil Set,Kitchen,3,768,766,4.3,45,5,18000
2024-02-05,CUST-005,INV-005,Sofa,Furniture,1,4853,4887,4.1,60,3,9500
2024-02-05,CUST-005,INV-005,Coffee Table,Furniture,1,1472,1614,4.2,60,3,9500
2024-02-05,CUST-005,INV-005,Floor Lamp,Decor,1,1176,1338,4.5,60,3,9500
2024-02-10,CUST-006,INV-006,Office Chair,Office,1,3410,3728,4.3,8,10,38000
2024-02-10,CUST-006,INV-006,Monitor Stand,Office,1,934,870,3.9,8,10,38000
2024-02-10,CUST-006,INV-006,Desk Lamp,Decor,1,943,818,4.1,8,10,38000
2024-02-15,CUST-007,INV-007,Dining Chair,Furniture,1,2564,2220,4.2,20,7,22000
2024-02-15,CUST-007,INV-007,Cookware Set,Kitchen,3,3339,3254,4.6,20,7,22000
2024-02-15,CUST-007,INV-007,Dishware Set,Kitchen,2,1235,1135,4.0,20,7,22000
2024-02-20,CUST-008,INV-008,Area Rug,Decor,1,1817,1915,4.2,90,2,5000
2024-02-20,CUST-008,INV-008,Floor Lamp,Decor,1,1241,1358,4.2,90,2,5000
2024-02-25,CUST-009,INV-009,Office Desk,Office,1,4574,4015,4.6,15,9,31000
2024-02-25,CUST-009,INV-009,Desk Organizer,Office,1,507,546,4.7,15,9,31000
2024-02-25,CUST-009,INV-009,Desk Lamp,Decor,1,881,840,4.5,15,9,31000
2024-03-01,CUST-010,INV-010,Utensil Set,Kitchen,1,762,747,3.8,7,14,55000
2024-03-01,CUST-010,INV-010,Dishware Set,Kitchen,3,1199,1069,3.9,7,14,55000
2024-03-01,CUST-010,INV-010,Cutting Board,Kitchen,1,390,445,4.8,7,14,55000
2024-03-11,CUST-011,INV-011,Sofa,Furniture,1,4833,4753,3.9,30,4,12000
2024-03-11,CUST-011,INV-011,Throw Pillow,Decor,1,578,695,4.3,30,4,12000
2024-03-11,CUST-011,INV-011,Wall Art,Decor,1,817,944,4.5,30,4,12000
2024-03-16,CUST-012,INV-012,Office Desk,Office,1,4446,4087,3.6,180,1,2000
2024-03-16,CUST-012,INV-012,Office Chair,Office,1,3378,3759,3.5,180,1,2000
2024-03-21,CUST-013,INV-013,Dining Table,Furniture,1,8265,7262,3.9,2,18,78000
2024-03-21,CUST-013,INV-013,Dining Chair,Furniture,1,2411,2308,4.4,2,18,78000
2024-03-21,CUST-013,INV-013,Area Rug,Decor,1,1767,1829,4.8,2,18,78000
2024-03-26,CUST-001,INV-014,Cookware Set,Kitchen,2,3658,3250,4.6,5,12,45000
2024-03-26,CUST-001,INV-014,Utensil Set,Kitchen,3,832,771,4.8,5,12,45000
2024-03-26,CUST-001,INV-014,Dishware Set,Kitchen,3,1187,1089,3.7,5,12,45000
2024-03-31,CUST-014,INV-015,Bed Frame,Furniture,1,5940,5621,5.0,55,3,8000
2024-03-31,CUST-014,INV-015,Area Rug,Decor,1,1789,1826,4.4,55,3,8000
2024-03-31,CUST-014,INV-015,Floor Lamp,Decor,1,1152,1309,4.3,55,3,8000
2024-04-10,CUST-015,INV-016,Sofa,Furniture,1,5224,4855,3.6,10,11,42000
2024-04-10,CUST-015,INV-016,Coffee Table,Furniture,1,1456,1580,4.5,10,11,42000
2024-04-15,CUST-002,INV-017,Monitor Stand,Office,1,941,859,4.2,12,8,28000
2024-04-15,CUST-002,INV-017,Desk Organizer,Office,1,481,519,5.0,12,8,28000
2024-04-20,CUST-016,INV-018,Dining Table,Furniture,1,7984,7359,3.7,120,2,4000
2024-04-20,CUST-016,INV-018,Cookware Set,Kitchen,3,3587,3277,4.2,120,2,4000
2024-04-25,CUST-017,INV-019,Throw Pillow,Decor,1,580,667,4.9,6,13,50000
2024-04-25,CUST-017,INV-019,Wall Art,Decor,1,802,868,4.3,6,13,50000
2024-04-30,CUST-018,INV-020,Office Desk,Office,1,4287,4212,5.0,35,5,15000
2024-04-30,CUST-018,INV-020,Bookshelf,Office,1,2073,1937,3.9,35,5,15000
2024-04-30,CUST-018,INV-020,Desk Lamp,Decor,1,888,822,4.7,35,5,15000
2024-05-10,CUST-003,INV-021,Sofa,Furniture,1,5016,4934,4.0,3,15,62000
2024-05-10,CUST-003,INV-021,Area Rug,Decor,1,1750,1959,5.0,3,15,62000
2024-05-15,CUST-019,INV-022,Dining Chair,Furniture,1,2588,2370,4.7,25,6,19000
2024-05-15,CUST-019,INV-022,Utensil Set,Kitchen,2,819,730,4.3,25,6,19000
2024-05-15,CUST-019,INV-022,Dishware Set,Kitchen,2,1228,1154,4.7,25,6,19000
2024-05-20,CUST-006,INV-023,Cookware Set,Kitchen,2,3416,3262,4.9,8,10,38000
2024-05-20,CUST-006,INV-023,Cutting Board,Kitchen,2,412,460,4.0,8,10,38000
2024-05-25,CUST-010,INV-024,Office Chair,Office,1,3353,3553,4.2,7,14,55000
2024-05-25,CUST-010,INV-024,Bookshelf,Office,1,1968,1897,5.0,7,14,55000
2024-05-30,CUST-020,INV-025,Floor Lamp,Decor,1,1213,1235,4.9,70,3,7000
2024-05-30,CUST-020,INV-025,Throw Pillow,Decor,1,591,710,4.8,70,3,7000
2024-06-09,CUST-001,INV-026,Dining Table,Furniture,1,7696,7416,4.6,5,12,45000
2024-06-09,CUST-001,INV-026,Dining Chair,Furniture,1,2425,2389,4.2,5,12,45000
2024-06-09,CUST-001,INV-026,Dishware Set,Kitchen,3,1216,1055,4.9,5,12,45000
2024-06-14,CUST-009,INV-027,Sofa,Furniture,1,4948,4753,4.9,15,9,31000
2024-06-14,CUST-009,INV-027,Coffee Table,Furniture,1,1534,1547,3.7,15,9,31000
2024-06-14,CUST-009,INV-027,Area Rug,Decor,1,1737,1977,4.7,15,9,31000
2024-06-19,CUST-004,INV-028,Office Desk,Office,1,4341,4337,5.0,45,5,18000
2024-06-19,CUST-004,INV-028,Monitor Stand,Office,1,914,837,4.3,45,5,18000
2024-06-24,CUST-013,INV-029,Utensil Set,Kitchen,3,770,714,5.0,2,18,78000
2024-06-24,CUST-013,INV-029,Cookware Set,Kitchen,1,3361,3280,3.7,2,18,78000
2024-06-24,CUST-013,INV-029,Dishware Set,Kitchen,2,1239,1068,3.9,2,18,78000
2024-06-29,CUST-015,INV-030,Bed Frame,Furniture,1,6001,5953,4.0,10,11,42000
2024-06-29,CUST-015,INV-030,Throw Pillow,Decor,1,603,723,3.6,10,11,42000
2024-06-29,CUST-015,INV-030,Wall Art,Decor,1,819,936,4.5,10,11,42000
2024-07-09,CUST-007,INV-031,Sofa,Furniture,1,5158,4808,4.7,20,7,22000
2024-07-09,CUST-007,INV-031,Floor Lamp,Decor,1,1245,1252,3.7,20,7,22000
2024-07-14,CUST-011,INV-032,Office Chair,Office,1,3504,3838,4.7,30,4,12000
2024-07-14,CUST-011,INV-032,Office Desk,Office,1,4549,4316,3.7,30,4,12000
2024-07-14,CUST-011,INV-032,Bookshelf,Office,1,1928,1923,3.7,30,4,12000
2024-07-19,CUST-002,INV-033,Dining Chair,Furniture,1,2390,2342,4.3,12,8,28000
2024-07-19,CUST-002,INV-033,Dining Table,Furniture,1,7986,7707,4.8,12,8,28000
2024-07-19,CUST-002,INV-033,Cookware Set,Kitchen,1,3345,3101,3.6,12,8,28000
2024-07-24,CUST-017,INV-034,Area Rug,Decor,1,1801,1912,4.6,6,13,50000
2024-07-24,CUST-017,INV-034,Desk Lamp,Decor,1,937,845,4.4,6,13,50000
2024-07-29,CUST-008,INV-035,Cookware Set,Kitchen,2,3502,3204,4.5,90,2,5000
2024-07-29,CUST-008,INV-035,Utensil Set,Kitchen,1,801,773,4.3,90,2,5000
2024-08-08,CUST-016,INV-036,Office Desk,Office,1,4590,4358,4.9,120,2,4000
2024-08-08,CUST-016,INV-036,Office Chair,Office,1,3416,3722,4.9,120,2,4000
2024-08-08,CUST-016,INV-036,Monitor Stand,Office,1,931,819,3.7,120,2,4000
2024-08-13,CUST-020,INV-037,Sofa,Furniture,1,4971,4595,3.9,70,3,7000
2024-08-13,CUST-020,INV-037,Coffee Table,Furniture,1,1436,1627,4.7,70,3,7000
2024-08-13,CUST-020,INV-037,Throw Pillow,Decor,1,624,676,4.6,70,3,7000
2024-08-18,CUST-003,INV-038,Dishware Set,Kitchen,2,1219,1061,4.8,3,15,62000
2024-08-18,CUST-003,INV-038,Utensil Set,Kitchen,2,778,784,4.1,3,15,62000
2024-08-23,CUST-014,INV-039,Desk Lamp,Decor,1,870,864,3.8,55,3,8000
2024-08-23,CUST-014,INV-039,Monitor Stand,Office,1,919,892,4.1,55,3,8000
2024-08-28,CUST-019,INV-040,Sofa,Furniture,1,4961,4731,3.6,25,6,19000
2024-08-28,CUST-019,INV-040,Area Rug,Decor,1,1776,1869,4.2,25,6,19000
2024-08-28,CUST-019,INV-040,Wall Art,Decor,1,816,890,4.3,25,6,19000
2024-09-07,CUST-005,INV-041,Dining Table,Furniture,1,7836,7846,3.7,60,3,9500
2024-09-07,CUST-005,INV-041,Dining Chair,Furniture,1,2605,2238,4.8,60,3,9500
2024-09-12,CUST-012,INV-042,Cookware Set,Kitchen,1,3354,3127,4.9,180,1,2000
2024-09-12,CUST-012,INV-042,Dishware Set,Kitchen,3,1172,1059,4.1,180,1,2000
2024-09-17,CUST-018,INV-043,Office Desk,Office,1,4644,4099,3.7,35,5,15000
2024-09-17,CUST-018,INV-043,Desk Organizer,Office,1,521,524,4.6,35,5,15000
2024-09-22,CUST-006,INV-044,Bed Frame,Furniture,1,5754,5543,4.5,8,10,38000
2024-09-22,CUST-006,INV-044,Floor Lamp,Decor,1,1191,1244,4.9,8,10,38000
2024-09-22,CUST-006,INV-044,Throw Pillow,Decor,1,608,721,3.6,8,10,38000
2024-09-27,CUST-001,INV-045,Office Chair,Office,1,3625,3540,4.8,5,12,45000
2024-09-27,CUST-001,INV-045,Desk Lamp,Decor,1,896,836,4.3,5,12,45000
2024-10-07,CUST-010,INV-046,Sofa,Furniture,1,5213,4689,3.7,7,14,55000
2024-10-07,CUST-010,INV-046,Coffee Table,Furniture,1,1504,1558,3.7,7,14,55000
2024-10-07,CUST-010,INV-046,Floor Lamp,Decor,1,1159,1242,3.8,7,14,55000
2024-10-12,CUST-009,INV-047,Dining Chair,Furniture,1,2453,2255,4.6,15,9,31000
2024-10-12,CUST-009,INV-047,Utensil Set,Kitchen,2,783,750,3.8,15,9,31000
2024-10-17,CUST-013,INV-048,Office Desk,Office,1,4637,4408,3.6,2,18,78000
2024-10-17,CUST-013,INV-048,Monitor Stand,Office,1,857,850,5.0,2,18,78000
2024-10-17,CUST-013,INV-048,Desk Lamp,Decor,1,901,828,4.2,2,18,78000
2024-10-22,CUST-007,INV-049,Area Rug,Decor,1,1828,1929,4.5,20,7,22000
2024-10-22,CUST-007,INV-049,Wall Art,Decor,1,804,935,5.0,20,7,22000
2024-10-22,CUST-007,INV-049,Throw Pillow,Decor,1,588,680,3.8,20,7,22000
2024-10-27,CUST-015,INV-050,Cookware Set,Kitchen,1,3395,3322,4.6,10,11,42000
2024-10-27,CUST-015,INV-050,Utensil Set,Kitchen,1,792,739,3.6,10,11,42000
2024-10-27,CUST-015,INV-050,Cutting Board,Kitchen,2,381,456,4.8,10,11,42000
2024-11-06,CUST-002,INV-051,Sofa,Furniture,1,4832,4601,4.8,12,8,28000
2024-11-06,CUST-002,INV-051,Area Rug,Decor,1,1867,1932,3.9,12,8,28000
2024-11-06,CUST-002,INV-051,Floor Lamp,Decor,1,1169,1273,4.2,12,8,28000
2024-11-11,CUST-011,INV-052,Dining Table,Furniture,1,7726,7459,3.9,30,4,12000
2024-11-11,CUST-011,INV-052,Dining Chair,Furniture,1,2615,2409,4.3,30,4,12000
2024-11-11,CUST-011,INV-052,Dishware Set,Kitchen,2,1169,1151,4.0,30,4,12000
2024-11-16,CUST-017,INV-053,Office Chair,Office,1,3389,3639,3.6,6,13,50000
2024-11-16,CUST-017,INV-053,Office Desk,Office,1,4401,4266,3.9,6,13,50000
2024-11-16,CUST-017,INV-053,Desk Lamp,Decor,1,925,815,4.7,6,13,50000
2024-11-21,CUST-004,INV-054,Bed Frame,Furniture,1,5786,5850,4.1,45,5,18000
2024-11-21,CUST-004,INV-054,Area Rug,Decor,1,1764,1925,3.6,45,5,18000
2024-11-26,CUST-020,INV-055,Cookware Set,Kitchen,3,3660,3313,3.7,70,3,7000
2024-11-26,CUST-020,INV-055,Dishware Set,Kitchen,3,1234,1111,4.6,70,3,7000
2024-12-06,CUST-003,INV-056,Sofa,Furniture,1,5242,4632,4.6,3,15,62000
2024-12-06,CUST-003,INV-056,Coffee Table,Furniture,1,1521,1527,4.8,3,15,62000
2024-12-06,CUST-003,INV-056,Throw Pillow,Decor,1,624,709,4.6,3,15,62000
2024-12-11,CUST-016,INV-057,Office Desk,Office,1,4640,4049,4.3,120,2,4000
2024-12-11,CUST-016,INV-057,Bookshelf,Office,1,2001,1964,4.7,120,2,4000
2024-12-11,CUST-016,INV-057,Desk Lamp,Decor,1,929,857,4.8,120,2,4000
2024-12-16,CUST-019,INV-058,Dining Table,Furniture,1,8146,7645,3.8,25,6,19000
2024-12-16,CUST-019,INV-058,Utensil Set,Kitchen,1,762,722,4.0,25,6,19000
2024-12-16,CUST-019,INV-058,Dishware Set,Kitchen,1,1185,1095,3.6,25,6,19000
2024-12-21,CUST-008,INV-059,Area Rug,Decor,1,1823,1934,4.2,90,2,5000
2024-12-21,CUST-008,INV-059,Floor Lamp,Decor,1,1140,1339,4.6,90,2,5000
2024-12-21,CUST-008,INV-059,Wall Art,Decor,1,800,903,4.5,90,2,5000
2024-12-26,CUST-018,INV-060,Cookware Set,Kitchen,1,3348,3276,3.9,35,5,15000
2024-12-26,CUST-018,INV-060,Utensil Set,Kitchen,1,828,730,4.6,35,5,15000
